PLAYER,PICK,TEAM,YEAR,G,MP,FG,FGA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,ADVANCED_WS,ADVANCED_BPM,ADVANCED_VORP,PER
Kelly Oubre Jr.,15,ATL,2015,63.0,10.7,1.4,3.3,0.5,0.8,0.4,1.7,0.2,0.3,0.1,0.5,1.6,3.7,22.2,-1.8,0.7,6.7
Terry Rozier,16,BOS,2015,39.0,8.0,0.7,2.7,0.2,0.3,0.6,1.0,0.9,0.2,0.0,0.5,0.6,1.8,29.5,0.6,10.8,4.1
Rashad Vaughn,17,MIL,2015,70.0,14.3,1.2,3.8,0.2,0.2,0.2,1.1,0.6,0.4,0.2,0.4,1.0,3.1,-0.6,-4.7,-1.2,3.7
Sam Dekker,18,HOU,2015,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.3,0.0,0.0,0.0,0.0,5.4,-1.4,0.5,9.2
Jerian Grant,19,WAS,2015,76.0,16.6,2.0,5.1,1.3,1.6,0.3,1.6,2.3,0.7,0.1,1.1,1.3,5.6,8.3,-1.6,0.5,9.4
Delon Wright,20,TOR,2015,27.0,8.5,1.3,3.0,1.0,1.3,0.3,1.1,1.1,0.3,0.1,0.6,0.3,3.8,28.2,2.2,11.0,14.1
Justin Anderson,21,DAL,2015,55.0,11.8,1.3,3.2,0.8,1.0,0.3,2.1,0.5,0.3,0.5,0.4,0.8,3.8,4.9,-1.5,0.4,10.5
Bobby Portis,22,CHI,2015,62.0,17.8,3.0,7.0,0.8,1.1,2.0,3.5,0.8,0.4,0.4,0.9,1.6,7.0,31.1,-0.5,5.3,12.5
Rondae Hollis-Jefferson,23,POR,2015,29.0,21.2,2.2,4.8,1.3,1.8,1.3,4.0,1.5,1.3,0.6,0.9,2.1,5.8,12.9,-0.7,2.3,12.4
Tyus Jones,24,CLE,2015,37.0,15.5,1.5,4.2,0.8,1.1,0.2,1.1,2.9,0.8,0.1,0.9,0.9,4.2,29.5,0.6,8.1,9.4
Jarell Martin,25,MEM,2015,27.0,14.1,2.0,4.3,1.7,2.3,1.4,1.7,0.6,0.3,0.3,0.7,2.1,5.7,3.2,-4.3,-1.7,12.2
Larry Nance Jr.,27,LAL,2015,63.0,20.1,2.5,4.8,0.5,0.7,1.6,3.3,0.7,0.9,0.4,0.7,2.0,5.5,33.4,1.2,9.9,11.5
R.J. Hunter,28,BOS,2015,36.0,8.8,1.0,2.7,0.2,0.2,0.1,1.0,0.4,0.4,0.1,0.3,0.8,2.7,0.4,-2.0,0.0,7.2
Chris McCullough,29,BRK,2015,24.0,15.1,1.8,4.5,0.5,1.0,1.0,1.8,0.4,1.2,0.5,0.6,1.6,4.7,0.6,-2.5,-0.1,10.7
Kevon Looney,30,GSW,2015,5.0,4.2,0.8,1.4,0.0,0.0,0.8,1.2,0.0,0.0,0.0,0.2,0.4,1.8,33.1,0.4,5.5,18.4
Montrezl Harrell,32,HOU,2015,39.0,9.7,1.5,2.3,0.6,1.2,0.6,1.0,0.4,0.3,0.3,0.4,1.2,3.6,42.9,2.6,12.2,12.9
Jordan Mickey,33,BOS,2015,16.0,3.6,0.5,1.4,0.3,0.6,0.4,0.4,0.1,0.0,0.7,0.1,0.3,1.3,0.5,-4.8,-0.3,14.2
Anthony Brown,34,LAL,2015,29.0,20.7,1.3,4.3,0.6,0.7,0.3,2.1,0.7,0.5,0.2,0.5,1.2,4.0,-0.2,-5.1,-0.6,4.2
Rakeem Christmas,36,MIN,2015,1.0,6.0,2.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,0.5,-4.7,-0.2,28.6
Richaun Holmes,37,PHI,2015,51.0,13.8,2.2,4.4,1.0,1.5,1.2,1.4,0.6,0.4,0.8,0.6,1.8,5.6,28.8,0.1,4.6,14.0
Darrun Hilliard,38,DET,2015,38.0,10.1,1.4,3.4,0.8,1.1,0.1,1.1,0.7,0.2,0.0,0.5,0.7,4.0,0.3,-4.7,-0.6,8.4
Josh Richardson,40,MIA,2015,52.0,21.3,2.4,5.2,0.8,1.2,0.4,1.7,1.4,0.7,0.5,0.7,2.1,6.6,27.7,-0.6,5.7,9.3
Pat Connaughton,41,BRK,2015,34.0,4.2,0.4,1.4,0.1,0.1,0.3,0.6,0.3,0.1,0.0,0.3,0.2,1.1,23.4,-0.4,4.4,5.3
Joe Young,43,IND,2015,41.0,9.4,1.5,4.1,0.5,0.6,0.1,1.1,1.6,0.4,0.0,0.8,0.7,3.8,0.4,-4.1,-0.6,8.6
Norman Powell,46,MIL,2015,49.0,14.8,2.0,4.7,0.9,1.1,0.3,1.9,1.0,0.6,0.2,0.7,1.2,5.6,27.1,-0.2,5.9,10.6
Branden Dawson,56,NOP,2015,6.0,4.8,0.3,0.8,0.2,0.2,0.3,0.3,0.0,0.0,0.2,0.0,0.3,0.8,0.0,-5.7,0.0,6.6
Brandon Ingram,2,LAL,2016,79.0,28.8,3.5,8.7,1.7,2.7,0.8,3.2,2.1,0.6,0.5,1.5,2.0,9.4,27.2,0.1,8.4,7.6
Jaylen Brown,3,BOS,2016,78.0,17.2,2.5,5.4,1.1,1.6,0.6,2.2,0.8,0.4,0.2,0.9,1.8,6.6,35.3,0.4,9.7,9.2
Dragan Bender,4,PHO,2016,43.0,13.3,1.3,3.7,0.1,0.3,0.5,1.9,0.5,0.2,0.5,0.7,1.7,3.4,0.5,-3.9,-1.9,4.5
Kris Dunn,5,MIN,2016,78.0,17.1,1.5,4.0,0.5,0.8,0.3,1.8,2.4,1.0,0.5,1.1,2.3,3.8,7.7,-1.5,1.0,7.2
Buddy Hield,6,NOP,2016,57.0,20.4,3.2,8.3,0.5,0.6,0.3,2.6,1.4,0.3,0.1,0.8,1.4,8.6,24.9,0.4,11.0,8.8
Buddy Hield,6,NOP,2016,25.0,29.1,5.7,11.8,1.4,1.7,0.6,3.5,1.8,0.8,0.1,2.1,1.4,15.1,24.9,0.4,11.0,13.1
Jamal Murray,7,DEN,2016,82.0,21.5,3.6,8.9,1.3,1.5,0.5,2.1,2.1,0.6,0.3,1.4,1.5,9.9,31.9,0.9,10.7,11.0
Marquese Chriss,8,SAC,2016,82.0,21.3,3.5,7.7,1.4,2.2,1.2,3.1,0.7,0.8,0.9,1.3,3.2,9.2,6.5,-2.4,-0.5,11.1
Jakob Poeltl,9,TOR,2016,54.0,11.6,1.2,2.1,0.6,1.1,1.4,1.6,0.2,0.3,0.4,0.5,2.1,3.1,38.7,1.1,9.2,10.6
Thon Maker,10,MIL,2016,57.0,9.9,1.5,3.2,0.6,0.9,0.7,1.3,0.4,0.2,0.5,0.3,1.5,4.0,6.6,-2.1,-0.1,12.8
Domantas Sabonis,11,ORL,2016,81.0,20.1,2.4,5.9,0.5,0.8,0.6,3.0,1.0,0.5,0.4,1.0,2.5,5.9,59.8,3.2,22.8,6.2
Taurean Prince,12,UTA,2016,59.0,16.6,1.9,4.8,1.3,1.6,0.4,2.2,0.9,0.7,0.5,1.0,1.6,5.7,11.5,-2.1,-0.3,9.1
Georgios Papagiannis,13,PHO,2016,22.0,16.1,2.5,4.6,0.5,0.6,1.1,2.8,0.9,0.1,0.8,1.1,2.0,5.6,0.4,-3.9,-0.2,11.3
Denzel Valentine,14,CHI,2016,57.0,17.1,1.8,5.1,0.2,0.3,0.2,2.5,1.1,0.5,0.1,0.9,1.5,5.1,4.5,-1.9,0.2,5.9
